Title,Paragraph,Source,Truth
Download App,"World Chess Championship 2024: India's D Gukesh became the youngest-ever world champion on Thursday, December 12. The 18-year-old defeated China's Ding Liren in the decisive Game 14 to clinch the prestigious title. ",India_Today,1.0
News,"The Supreme Court on Thursday said that no further such suits can be registered till it hears and disposes off the petitions challenging the Places of Worship (Special Provisions) Act, 1991. ",India_Today,1.0
Law News,"AAP Convenor Arvind Kejriwal promised to give Rs 2,100 a month to women in Delhi. Kejriwal, who is practically the pioneer of freebies in India, promised a new cash sop to women despite two Delhi government departments warning against giving even Rs 1,000 a month.",India_Today,1.0
DELHI ELECTION 2025,"Transport Minister Nitin Gadkari, who had set an ambitious target of reducing accidents by 50% when he had first assumed office, conceded that the situation has worsened. ",India_Today,1.0
India News,"India's D Gukesh was in tears as he could not believe his luck after becoming the first teenager to win the World Chess Championship with a 7.5-6.5 win over Ding Liren. In the 14th game, with the scores locked at 6.5-6.5, Gukesh had the last laugh. ",India_Today,1.0
 ,"The One Nation One Election bill, which will pave the way for simultaneous polls to the Lok Sabha and state Assemblies, is likely to be introduced in the ongoing winter session of Parliament.",India_Today,1.0
World Chess Championship 2024,"Dinesh Mishra, the lawyer of Atul Subhash, who died by suicide in Bengaluru, alleged that the techie did not take any legal advice to challenge a UP court order to pay Rs 40,000 per month in maintenance for the minor son.",India_Today,1.0
India News,"Calling his comeback ""unparalleled in American history"", TIME magazine on Thursday named US President-elect Donald Trump as the 2024 Person of the Year.",India_Today,1.0
India News,"Sobhita Dhulipala and Naga Chaitanya's wedding was held on December 4 in Hyderabad. Here are unseen pictures from the wedding featuring SS Rajamouli, Ram Charan, Mani Ratnam and Chiranjeevi. ",India_Today,1.0
World News,"The crackdown on Sanjeev Hans and RJD ex-MLA Gulab Yadav is a sobering reminder that the ingenuity of deception is only matched by the tenacity of those tasked with unmasking it
",India_Today,1.0
Regional cinema,"Trinamool MP Sagarika Ghose filed a privilege motion against Kiren Rijiju after his controversial remark, backed by 60 opposition MPs, escalated tensions in Rajya Sabha. ",India_Today,1.0
India Today Insight,"Households across the world's most populous country are likely to welcome the inflation relief, given that food expenses dominate many family budgets.",India_Today,1.0
India News,Thinking about marriage but unsure if you'll be able to adjust to living together? Why not try a live-in relationship first to see how things go before taking the next step?,India_Today,1.0
Business News,"Border-Gavaskar Trophy: India will look to bounce back from the 10-wicket loss in Adelaide when they return to the venue of their heroics in 2021. The pre-Christmas Test in Brisbane might slightly favour Australia, who are looking to take the lead in the five-match series. Here's all that you need to know about the 3rd Test, starting December 14. ",India_Today,1.0
LATEST STORIES,"In his Instagram post, Pantha Deb shared a video with the caption: ""24 hours begging challenge"".",India_Today,1.0
Love,This new sub-4 metre compact SUV is priced between Rs 7.89 lakh and Rs 14.40 lakh (ex-showroom).,India_Today,1.0
Border-Gavaskar Trophy,"Delhi and Mumbai have earned spots in TasteAtlas's 100 Best Food Cities list, with four other Indian cities also making the cut. These cities are celebrated for their vibrant food scenes and iconic dishes.",India_Today,1.0
Trending News,"Parliament Session Live: The Rajya Sabha was adjourned for the day soon after it reconvened after adjournment due to Opposition protest and sloganeerings. Congress president and Leader of Opposition in the Upper House Mallikarjun Kharge accused Rajya Sabha Chairman Jagdeep Dhankar of bias. Meanwhile, BJP president JP Nadda again raked up the George Soros-Congress matter in the Rajya Sabha. Stay tuned to IndiaToday.in for latest updates.      ",India_Today,1.0
Car News,"Director Payal Kapadia's film, All We Imagine As Light, has returned to cinemas with improved showtimes in select cities.",India_Today,1.0
Information,Firefly Sparkle is still in the process of assembling and has a mass equivalent to about 10 million solar masses. ,India_Today,1.0
Live blog,"A wedding invitation featuring ""Sharma Ji ki Ladki"" and ""Gopal Ji ka Ladka"" has taken social media by storm for its humorous and offbeat take on Indian wedding traditions.",India_Today,1.0
Bollywood,"If you feel a strange sensation in your ear as soon as your flight takes off, you might be dealing with airplane ear. While it can be uncomfortable, it can be relieved with some simple tricks.",India_Today,1.0
SCIENCE,"Private companies in India have seen their profits hit a 15-year high but failed to give wages that could even beat inflation, shows a report. Despite making 4X profits in four years, the lower spending on wages is not just adding pressure on households, but hitting India's economic growth.",India_Today,1.0
Trending News,Saurabh  Netravalkar opened up about not getting picked in the IPL 2025 mega auction. The Indian-origin USA speedster kept his base price at Rs 30 lakh in auction. ,India_Today,1.0
Wellness,Ariana Grande-starrer Wicked and Ralph Fiennes' Conclave have each earned 11 nominations for the Critics Choice Awards 2024. Take a look at the complete nominations list here. ,India_Today,1.0
Business News,Actor Austin Butler will portray Patrick Bateman in a new adaptation of American Psycho by Luca Guadagnino. This fresh take on Bret Easton Ellis's novel promises a unique interpretation.,India_Today,1.0
IPL 2025,"Sobhita Dhulipala and Naga Chaitanya's wedding was held on December 4 in Hyderabad. Here are unseen pictures from the wedding featuring SS Rajamouli, Ram Charan, Mani Ratnam and Chiranjeevi. ",India_Today,1.0
Geeta's World,The first promo from the highly-anticipated Rajinikanth-starrer Coolie is out. Superstar Rajinikanth is seen showing off his groovy moves in the short video. ,India_Today,1.0
3 Times Indian Cricketers Took A Break From Cricket To Enjoy Pickleball,Theme,Times_Now,1.0
Latest News,Sports,Times_Now,1.0
 , ,Times_Now,1.0
Is Chef Vikas Khanna Dedicating His Recent Michelin Bib Gourmand Award To Shah Rukh Khan? Read His Emotional Note,Padel,Times_Now,1.0
"CTET Admit Card 2024 Released on ctet.nic.in, Direct Link", ,Times_Now,1.0
Rashmika Mandanna Grateful For All The Love For 'Srivalli' And ‘Pushpa 2 The Rule',Pickleball,Times_Now,1.0
'India Has Emerged As A Beacon Of Growth And Innovation': Times Group MD Vineet Jain At IEC 2024, ,Times_Now,1.0
Vedanta Eyes Fourth Interim Dividend; Shares Rise Over 1% Ahead Of December Meeting,Cricket,Times_Now,1.0
"Mumbai, Kochi Flights Return To Chennai Airport After Mid-Air Technical Snag", ,Times_Now,1.0
"UPPSC PCS Admit Card 2024 Released on uppsc.up.nic.in, Direct Link Here",Football,Times_Now,1.0
"Newtopia: Blackpink's Jisoo, Park Jeong-Min's Zombie K-Drama Release Date OUT! BLINKs Are 'Crying In Anticipation'", ,Times_Now,1.0
Is Chef Vikas Khanna Dedicating His Recent Michelin Bib Gourmand Award To Shah Rukh Khan? Read His Emotional Note,WWE,Times_Now,1.0
Rashmika Mandanna Grateful For All The Love For 'Srivalli' And ‘Pushpa 2 The Rule',Tennis,Times_Now,1.0
Vedanta Eyes Fourth Interim Dividend; Shares Rise Over 1% Ahead Of December Meeting,Badminton,Times_Now,1.0
"UPPSC PCS Admit Card 2024 Released on uppsc.up.nic.in, Direct Link Here",Hockey,Times_Now,1.0
Is Chef Vikas Khanna Dedicating His Recent Michelin Bib Gourmand Award To Shah Rukh Khan? Read His Emotional Note,Athletics,Times_Now,1.0
Rashmika Mandanna Grateful For All The Love For 'Srivalli' And ‘Pushpa 2 The Rule',NBA,Times_Now,1.0
Related News, ,Times_Now,1.0
 ,MMA,Times_Now,1.0
Anna Leigh Waters Wins Historic 30th Triple Crown At 2024 CIBC Tour Finals, ,Times_Now,1.0
Not Yashasvi Jaiswal Or Joe Root! Ricky Ponting Names 25-year-Old Star As Current Best Test Batsman,Live Score,Times_Now,1.0
Why Is Jasprit Bumrah A Better Captain Than Rohit Sharma In Test Matches? Brutal Scrutiny Shows Huge Concerns, ,Times_Now,1.0
"India vs Australia 3rd Test, GABBA, Brisbane Weather Report: Rain Threat Looms Large",Padel,Times_Now,1.0
"Greg Chappell's Unfiltered 'It's A High Paying Job' Take On Virat Kohli, Rohit Sharma Retirement Hits Right Notes", ,Times_Now,1.0
Download App,"Running offers significant health benefits, including reducing the risks of obesity and heart disease, but it's crucial to approach it wisely to avoid potential risks.",India_Today,1.0
Health,"India has significantly reduced malaria cases and deaths. India's efforts, including community health initiatives and protective measures, have led to a 69% drop in cases from 2017 to 2023.",India_Today,1.0
Health,"A 13-year-old girl from Aligarh underwent a successful eight-hour scalp replantation surgery at Amrita Hospital, Faridabad, after her hair got caught in a generator fan.",India_Today,1.0
Health,A Lancet study highlights that long-term exposure to PM2.5 particles is responsible for millions of deaths in India.,India_Today,1.0
Health,"A recent study reveals that microplastics in human blood may disrupt clotting processes, raising the risk of heart diseases.",India_Today,1.0
Health,"India has successfully conducted its first in-human gene therapy for hemophilia A, with patients experiencing no bleeding episodes post-treatment.",India_Today,1.0
Health,"A new study by the University of Pennsylvania reveals that a keto diet could enhance the effectiveness of CAR-T cell therapy, a new type of treatment, in fighting blood cancer.",India_Today,1.0
Health,A study has discovered that the traditional fermented bamboo shoot dish from Tripura possesses anti-obesity properties.,India_Today,1.0
